order_id,payment_type,installments,payment_value
order_000243,boleto,1,84.49000000000001
order_000244,credit_card,4,154.96
order_000245,credit_card,3,570.85
order_000246,credit_card,3,64.5
order_000247,credit_card,3,193.89999999999998
order_000248,credit_card,6,228.78
order_000249,credit_card,4,508.58
order_000250,boleto,1,475.4
order_000251,credit_card,1,186.7
order_000252,credit_card,3,529.48
order_000253,credit_card,7,293.25
order_000254,boleto,1,487.88
order_000255,boleto,1,82.26
order_000256,credit_card,5,64.42
order_000257,credit_card,3,275.63
order_000258,credit_card,3,32.05
order_000259,credit_card,2,484.4
order_000260,credit_card,3,78.71
order_000261,credit_card,3,132.98000000000002
order_000262,boleto,1,347.09000000000003
order_000263,credit_card,6,257.07
order_000264,credit_card,6,768.68
order_000265,credit_card,4,132.58
order_000266,debit_card,1,250.41
order_000267,credit_card,4,333.19
order_000268,voucher,1,43.08
order_000269,boleto,1,139.71
order_000270,credit_card,1,526.87
order_000271,credit_card,1,264.96
order_000272,credit_card,1,617.25
order_000273,boleto,1,584.6800000000001
order_000274,credit_card,6,53.66
order_000275,credit_card,3,48.97
order_000276,credit_card,1,61.55
order_000277,credit_card,3,214.06
order_000278,credit_card,1,339.78000000000003
order_000279,credit_card,1,113.06
order_000280,credit_card,7,144.94
order_000281,credit_card,4,85.38999999999999
order_000282,credit_card,5,131.67000000000002
order_000283,credit_card,2,74.71
order_000284,boleto,1,112.47
order_000285,boleto,1,146.70999999999998
order_000286,credit_card,1,448.86999999999995
order_000287,credit_card,1,139.45
order_000288,credit_card,6,294.29
order_000289,credit_card,7,665.97
order_000290,credit_card,1,418.34
order_000291,credit_card,4,352.26
order_000292,credit_card,3,207.45
order_000293,voucher,1,461.36
order_000294,boleto,1,293.77
order_000295,boleto,1,109.09
order_000296,credit_card,1,413.65999999999997
order_000297,credit_card,6,89.19999999999999
order_000298,boleto,1,420.6
order_000299,credit_card,1,710.49
order_000300,credit_card,1,138.78
order_000301,credit_card,8,77.58
order_000302,credit_card,5,361.58
order_000303,boleto,1,303.69
order_000304,credit_card,2,391.96000000000004
order_000305,boleto,1,138.23
order_000306,voucher,1,56.37
order_000307,credit_card,5,932.3
order_000308,credit_card,7,243.39
order_000309,boleto,1,496.11
order_000310,credit_card,5,464.46
order_000311,credit_card,1,316.32
order_000312,credit_card,1,546.67
order_000313,credit_card,1,847.32
order_000314,credit_card,1,514.64
order_000315,boleto,1,180.16
order_000316,credit_card,2,162.15
order_000317,credit_card,2,282.49
order_000318,credit_card,5,173.69
order_000319,credit_card,2,75.34
order_000320,credit_card,1,267.95
order_000321,credit_card,8,502.2
order_000322,boleto,1,336.28999999999996
order_000323,credit_card,1,122.37
order_000324,credit_card,1,125.43
order_000325,credit_card,6,137.24
order_000326,credit_card,1,149.32999999999998
order_000327,credit_card,2,70.11
order_000328,credit_card,3,114.17
order_000329,debit_card,1,498.02
order_000330,credit_card,3,133.97
order_000331,credit_card,8,436.9
order_000332,boleto,1,69.67
order_000333,credit_card,3,993.92
order_000334,credit_card,3,294.27
order_000335,credit_card,5,39.91
order_000336,voucher,1,376.70000000000005
order_000337,credit_card,1,189.54
order_000338,debit_card,1,365.02000000000004
order_000339,credit_card,6,864.0899999999999
order_000340,credit_card,6,198.02
order_000341,credit_card,6,172.19
order_000342,credit_card,1,119.83
order_000343,credit_card,6,293.38
order_000344,credit_card,1,178.21
order_000345,credit_card,2,88.46000000000001
order_000346,boleto,1,60.56
order_000347,credit_card,1,151.77999999999997
order_000348,credit_card,2,235.74
order_000349,credit_card,3,278.69
order_000350,credit_card,6,383.61
order_000351,credit_card,7,130.95000000000002
order_000352,credit_card,1,206.31
order_000353,credit_card,3,174.58
order_000354,credit_card,5,282.05
order_000355,credit_card,5,450.87
order_000356,boleto,1,157.29999999999998
order_000357,credit_card,1,287.54
order_000358,boleto,1,898.54
order_000359,boleto,1,203.32999999999998
order_000360,boleto,1,38.0
order_000361,credit_card,1,338.03
order_000362,credit_card,1,161.26
order_000363,credit_card,5,71.91
order_000364,credit_card,1,527.95
order_000365,credit_card,1,257.48
order_000366,credit_card,2,115.39999999999999
order_000367,credit_card,1,393.46999999999997
order_000368,credit_card,1,295.65
order_000369,credit_card,2,77.69
order_000370,boleto,1,374.37
order_000371,credit_card,1,795.17
order_000372,credit_card,4,329.85999999999996
order_000373,boleto,1,340.75
order_000374,credit_card,1,269.98
order_000375,boleto,1,465.37
order_000376,credit_card,1,80.43
order_000377,credit_card,1,84.67
order_000378,credit_card,5,463.45
order_000379,credit_card,2,572.01
order_000380,boleto,1,573.76
order_000381,boleto,1,246.09
order_000382,credit_card,8,429.79
order_000383,credit_card,1,163.52
order_000384,credit_card,1,73.19
order_000385,boleto,1,273.28
order_000386,voucher,1,202.13
order_000387,credit_card,1,499.07
order_000388,credit_card,5,227.77
order_000389,credit_card,4,341.15000000000003
order_000390,credit_card,5,31.82
order_000391,credit_card,1,211.14000000000001
order_000392,credit_card,2,777.0699999999999
order_000393,credit_card,1,296.26
order_000394,credit_card,6,912.9
order_000395,credit_card,1,96.96
order_000396,credit_card,2,833.34
order_000397,credit_card,1,102.94999999999999
order_000398,credit_card,1,210.76
order_000399,credit_card,9,842.3
order_000400,credit_card,8,74.77000000000001
order_000401,credit_card,6,120.57
order_000402,credit_card,9,401.04
order_000403,boleto,1,108.48
order_000404,credit_card,6,293.14
order_000405,debit_card,1,213.79
order_000406,credit_card,1,724.33
order_000407,credit_card,2,162.57999999999998
order_000408,credit_card,1,92.57
order_000409,credit_card,4,38.629999999999995
order_000410,credit_card,6,470.35
order_000411,credit_card,4,359.81
order_000412,boleto,1,111.55
order_000413,credit_card,3,486.59000000000003
order_000414,boleto,1,166.73000000000002
order_000415,credit_card,6,316.4
order_000416,credit_card,5,127.38999999999999
order_000417,credit_card,1,121.29
order_000418,credit_card,6,886.56
order_000419,credit_card,4,276.64
order_000420,credit_card,3,127.96
order_000421,credit_card,5,35.58
order_000422,credit_card,6,121.0
order_000423,credit_card,5,411.24
order_000424,boleto,1,61.349999999999994
order_000425,credit_card,7,73.29
order_000426,credit_card,1,89.04
order_000427,boleto,1,61.36
order_000428,credit_card,6,417.16999999999996
order_000429,boleto,1,241.66000000000003
order_000430,voucher,1,173.27
order_000431,credit_card,1,113.30999999999999
order_000432,boleto,1,252.87
order_000433,credit_card,8,433.90999999999997
order_000434,boleto,1,79.68
order_000435,credit_card,2,211.07
order_000436,credit_card,6,85.41
order_000437,credit_card,1,690.1199999999999
order_000438,credit_card,7,285.94
order_000439,credit_card,3,219.73999999999998
order_000440,credit_card,3,199.32
order_000441,credit_card,1,371.82
order_000442,credit_card,7,159.68
order_000443,credit_card,1,390.39
order_000444,boleto,1,611.38
order_000445,boleto,1,378.43999999999994
order_000446,credit_card,10,101.28
order_000447,credit_card,1,124.3
order_000448,credit_card,4,424.26
order_000449,credit_card,1,300.05
order_000450,credit_card,1,99.66000000000001
order_000451,credit_card,2,389.17
order_000452,credit_card,4,52.24
order_000453,voucher,1,122.37
order_000454,credit_card,1,249.54999999999998
order_000455,credit_card,3,628.95
order_000456,credit_card,1,182.33999999999997
order_000457,credit_card,2,394.14
order_000458,boleto,1,196.48000000000002
order_000459,credit_card,1,856.08
order_000460,voucher,1,103.83
order_000461,credit_card,6,272.77
order_000462,boleto,1,48.87
order_000463,credit_card,7,337.65
order_000464,credit_card,5,402.46
order_000465,boleto,1,123.1
order_000466,credit_card,7,306.22999999999996
order_000467,credit_card,1,318.76
order_000468,voucher,1,349.40999999999997
order_000469,credit_card,1,293.34
order_000470,credit_card,1,47.34
order_000471,credit_card,3,86.86
order_000472,credit_card,2,213.85999999999999
order_000473,credit_card,8,614.09
order_000474,boleto,1,96.78
order_000475,credit_card,4,282.71
order_000476,credit_card,1,549.58
order_000477,voucher,1,140.17
order_000478,credit_card,7,659.8100000000001
order_000479,voucher,1,117.00999999999999
order_000480,credit_card,4,432.21999999999997
order_000481,credit_card,7,237.99
order_000482,credit_card,2,306.32000000000005
order_000483,credit_card,3,202.53
order_000484,credit_card,1,963.12
order_000485,boleto,1,122.91000000000001
order_000486,credit_card,3,240.81
order_000487,credit_card,1,169.97
order_000488,credit_card,7,213.17000000000002
order_000489,credit_card,6,304.10999999999996
order_000490,credit_card,1,115.46000000000001
order_000491,credit_card,7,437.33000000000004
order_000492,credit_card,3,72.24
order_000493,voucher,1,198.13000000000002
order_000494,credit_card,3,425.90000000000003
order_000495,boleto,1,381.41999999999996
order_000496,credit_card,3,710.4300000000001
order_000497,credit_card,1,274.92
order_000498,credit_card,1,232.39
order_000499,credit_card,8,406.71999999999997
order_000500,debit_card,1,450.57
order_000501,credit_card,1,576.5
order_000502,credit_card,3,73.09
order_000503,credit_card,1,401.04
order_000504,credit_card,10,306.17
order_000505,credit_card,5,53.83
order_000506,credit_card,1,327.03
order_000507,credit_card,1,380.34999999999997
order_000508,boleto,1,191.27
order_000509,credit_card,4,321.03000000000003
order_000510,credit_card,1,195.1
order_000511,boleto,1,242.95
order_000512,voucher,1,108.27
order_000513,credit_card,3,520.97
order_000514,debit_card,1,432.14
order_000515,credit_card,2,428.72
order_000516,credit_card,5,27.77
order_000517,credit_card,1,77.94999999999999
order_000518,boleto,1,342.33
order_000519,credit_card,4,75.93
order_000520,credit_card,1,97.07000000000001
order_000521,voucher,1,81.58000000000001
order_000522,credit_card,1,118.22
order_000523,credit_card,8,343.03
order_000524,voucher,1,396.42
order_000525,voucher,1,218.73
order_000526,boleto,1,242.33
order_000527,voucher,1,469.62
order_000528,credit_card,1,441.38
order_000529,credit_card,3,622.5899999999999
order_000530,credit_card,2,57.91
order_000531,credit_card,1,100.57000000000001
order_000532,credit_card,5,398.32000000000005
order_000533,credit_card,1,214.09
order_000534,boleto,1,191.76000000000002
order_000535,voucher,1,355.25
order_000536,credit_card,1,90.42
order_000537,credit_card,1,66.2
order_000538,boleto,1,526.96
order_000539,credit_card,3,190.58
order_000540,boleto,1,87.03
order_000541,boleto,1,185.4
order_000542,voucher,1,164.82000000000002
order_000543,credit_card,6,495.26
order_000544,credit_card,1,56.09
order_000545,credit_card,10,281.01
order_000546,boleto,1,132.73
order_000547,boleto,1,261.67
order_000548,credit_card,1,759.39
order_000549,credit_card,1,154.51
order_000550,credit_card,2,131.71
order_000551,boleto,1,82.98
order_000552,credit_card,1,85.26
order_000553,credit_card,3,257.18
order_000554,credit_card,1,40.41
order_000555,credit_card,1,174.09000000000003
order_000556,credit_card,3,141.08
order_000557,credit_card,5,381.58000000000004
order_000558,credit_card,6,50.56
order_000559,credit_card,2,206.8
order_000560,credit_card,2,785.8899999999999
order_000561,credit_card,3,56.879999999999995
order_000562,credit_card,1,58.21
order_000563,credit_card,7,489.96999999999997
order_000564,credit_card,2,212.81
order_000565,credit_card,4,315.78999999999996
order_000566,boleto,1,310.83
order_000567,voucher,1,227.5
order_000568,credit_card,4,454.82000000000005
order_000569,boleto,1,89.36
order_000570,voucher,1,42.84
order_000571,credit_card,6,179.55
order_000572,boleto,1,524.31
order_000573,credit_card,1,306.17999999999995
order_000574,credit_card,2,179.89000000000001
order_000575,credit_card,3,254.09
order_000576,credit_card,2,55.06
order_000577,voucher,1,141.14000000000001
order_000578,credit_card,4,409.64000000000004
order_000579,boleto,1,349.31999999999994
order_000580,credit_card,2,50.66
order_000581,boleto,1,125.47
order_000582,credit_card,1,190.35000000000002
order_000583,credit_card,2,103.62
order_000584,boleto,1,419.88
order_000585,credit_card,6,580.94
order_000586,credit_card,2,82.47
order_000587,voucher,1,299.67
order_000588,credit_card,4,483.52
order_000589,credit_card,6,400.40999999999997
order_000590,credit_card,2,88.39
order_000591,credit_card,8,412.5
order_000592,credit_card,7,323.46
order_000593,credit_card,1,362.24
order_000594,voucher,1,222.97
order_000595,credit_card,4,202.08
order_000596,credit_card,5,364.69000000000005
order_000597,credit_card,4,176.22
order_000598,credit_card,1,110.28
order_000599,boleto,1,81.99
order_000600,credit_card,1,688.12
order_000601,voucher,1,393.28
order_000602,credit_card,6,199.57
order_000603,credit_card,4,431.52
order_000604,credit_card,1,38.66
order_000605,credit_card,2,211.41
order_000606,credit_card,8,208.23
order_000607,credit_card,3,241.12
order_000608,credit_card,2,341.43
order_000609,boleto,1,215.49
order_000610,credit_card,1,124.73
order_000611,boleto,1,132.84
order_000612,credit_card,1,112.45
order_000613,credit_card,1,80.14
order_000614,credit_card,1,907.5600000000001
order_000615,credit_card,3,86.00999999999999
order_000616,credit_card,1,56.9
order_000617,credit_card,2,603.09
order_000618,credit_card,6,303.73999999999995
order_000619,credit_card,7,148.9
order_000620,credit_card,5,124.92
order_000621,credit_card,4,101.94999999999999
order_000622,credit_card,7,303.53999999999996
order_000623,credit_card,1,261.68
order_000624,credit_card,4,296.69
order_000625,boleto,1,205.56
order_000626,boleto,1,146.12
order_000627,credit_card,1,834.62
order_000628,boleto,1,284.18
order_000629,boleto,1,75.85
order_000630,credit_card,5,371.11
order_000631,credit_card,5,172.66
order_000632,boleto,1,121.78999999999999
order_000633,credit_card,4,323.65000000000003
order_000634,credit_card,1,168.13
order_000635,boleto,1,333.67999999999995
order_000636,debit_card,1,193.92000000000002
order_000637,credit_card,4,406.22
order_000638,boleto,1,709.0000000000001
order_000639,boleto,1,464.76
order_000640,voucher,1,246.11
order_000641,credit_card,2,82.55
order_000642,credit_card,1,158.34
order_000643,credit_card,2,245.10999999999999
order_000644,credit_card,4,433.48
order_000645,credit_card,7,680.18
order_000646,credit_card,4,346.67
order_000647,credit_card,1,274.37
order_000648,voucher,1,532.71
order_000649,credit_card,1,229.4
order_000650,boleto,1,55.94
order_000651,boleto,1,99.95
order_000652,credit_card,1,207.07
order_000653,credit_card,1,145.76999999999998
order_000654,voucher,1,514.6300000000001
order_000655,voucher,1,113.38000000000001
order_000656,voucher,1,45.87
order_000657,credit_card,4,616.77
order_000658,credit_card,2,173.85
order_000659,credit_card,5,144.73000000000002
order_000660,boleto,1,405.48
order_000661,credit_card,2,217.45999999999998
order_000662,credit_card,1,76.74000000000001
order_000663,credit_card,2,477.69
order_000664,boleto,1,107.67
order_000665,credit_card,5,319.11
order_000666,credit_card,5,73.98
order_000667,voucher,1,76.15
order_000668,credit_card,9,447.31
order_000669,credit_card,4,194.07999999999998
order_000670,credit_card,5,267.75
order_000671,credit_card,1,269.95
order_000672,credit_card,1,141.37
order_000673,boleto,1,35.510000000000005
order_000674,voucher,1,82.12
order_000675,credit_card,4,448.88
order_000676,boleto,1,202.20999999999998
order_000677,boleto,1,352.64
order_000678,credit_card,2,368.45000000000005
order_000679,credit_card,7,27.24
order_000680,boleto,1,142.32
order_000681,credit_card,10,153.67000000000002
order_000682,credit_card,7,191.42
order_000683,credit_card,1,158.34
order_000684,boleto,1,408.80999999999995
order_000685,boleto,1,50.3
order_000686,credit_card,3,82.80000000000001
order_000687,credit_card,4,562.43
order_000688,credit_card,3,293.9
order_000689,voucher,1,56.989999999999995
order_000690,credit_card,1,97.52
order_000691,credit_card,1,184.13
order_000692,credit_card,1,590.7
order_000693,credit_card,5,87.65
order_000694,credit_card,2,105.86
order_000695,credit_card,1,472.24000000000007
order_000696,credit_card,1,65.88
order_000697,boleto,1,379.79
order_000698,boleto,1,81.11
order_000699,credit_card,6,437.99
order_000700,credit_card,4,72.24000000000001
order_000701,credit_card,4,233.95000000000002
order_000702,credit_card,5,114.39
order_000703,credit_card,3,274.34
order_000704,voucher,1,234.1
order_000705,boleto,1,88.22999999999999
order_000706,credit_card,3,128.43
order_000707,credit_card,3,446.63
order_000708,credit_card,1,41.97
order_000709,credit_card,5,435.25
order_000710,credit_card,1,627.95
order_000711,credit_card,1,60.22
order_000712,boleto,1,76.72
order_000713,credit_card,3,266.5
order_000714,credit_card,5,372.39
order_000715,credit_card,1,278.0
order_000716,credit_card,4,110.61000000000001
order_000717,credit_card,3,301.23
order_000718,credit_card,1,351.66999999999996
order_000719,boleto,1,32.269999999999996
order_000720,credit_card,6,173.55
order_000721,credit_card,1,855.52
order_000722,credit_card,5,372.28000000000003
order_000723,credit_card,4,46.949999999999996
order_000724,credit_card,2,409.07
order_000725,credit_card,9,420.12
order_000726,credit_card,2,89.01
order_000727,credit_card,1,963.2800000000001
order_000728,credit_card,2,414.37
order_000729,credit_card,6,207.44
order_000730,debit_card,1,206.79000000000002
order_000731,credit_card,1,99.97
order_000732,credit_card,1,162.64
order_000733,credit_card,5,354.49
order_000734,credit_card,1,135.81
order_000735,credit_card,1,342.63
order_000736,credit_card,1,103.36
order_000737,credit_card,1,536.01
order_000738,credit_card,4,245.09
order_000739,credit_card,2,237.28
order_000740,boleto,1,108.5
order_000741,credit_card,7,290.89000000000004
order_000742,credit_card,7,65.07
order_000743,credit_card,1,105.66
order_000744,credit_card,2,324.96
order_000745,credit_card,3,101.97
order_000746,credit_card,3,160.93
order_000747,credit_card,4,435.42
order_000748,credit_card,1,132.74
order_000749,boleto,1,93.59
order_000750,debit_card,1,662.86
order_000751,credit_card,10,345.40999999999997
order_000752,boleto,1,57.45
order_000753,credit_card,3,440.36
order_000754,credit_card,4,169.02000000000004
order_000755,credit_card,10,218.92
order_000756,credit_card,4,82.39
order_000757,credit_card,2,136.26
order_000758,credit_card,2,141.59
order_000759,boleto,1,246.23000000000002
order_000760,credit_card,6,82.63
order_000761,credit_card,5,44.48
order_000762,boleto,1,53.74
order_000763,boleto,1,1036.02
order_000764,credit_card,7,203.12
order_000765,credit_card,10,217.03
order_000766,credit_card,3,50.370000000000005
order_000767,voucher,1,95.41
order_000768,credit_card,1,821.2700000000001
order_000769,credit_card,9,224.34
order_000770,credit_card,2,106.28
order_000771,credit_card,4,351.44
order_000772,credit_card,3,181.47
order_000773,credit_card,1,397.28
order_000774,boleto,1,553.53
order_000775,boleto,1,547.6
order_000776,credit_card,1,188.89
order_000777,credit_card,1,322.77000000000004
order_000778,credit_card,1,189.59
order_000779,credit_card,2,134.18
order_000780,credit_card,5,354.06
order_000781,credit_card,1,53.68
order_000782,boleto,1,334.86
order_000783,credit_card,3,120.24
order_000784,credit_card,2,304.36
order_000785,credit_card,5,208.47
order_000786,boleto,1,225.63
order_000787,boleto,1,159.91
order_000788,credit_card,3,141.6
order_000789,credit_card,1,298.42999999999995
order_000790,credit_card,1,187.04
order_000791,credit_card,5,162.63
order_000792,credit_card,8,319.86
order_000793,credit_card,6,451.61
order_000794,credit_card,2,138.6
order_000795,voucher,1,222.76999999999998
order_000796,boleto,1,134.38
order_000797,boleto,1,196.27
order_000798,credit_card,2,77.38
order_000799,voucher,1,265.08
order_000800,credit_card,1,181.07999999999998
order_000801,credit_card,3,283.6
order_000802,debit_card,1,280.78
order_000803,credit_card,1,73.26
order_000804,credit_card,1,50.37
order_000805,credit_card,5,332.02
order_000806,credit_card,1,70.94
order_000807,voucher,1,54.72
order_000808,credit_card,3,383.15
order_000809,credit_card,3,451.89
order_000810,boleto,1,163.89000000000001
order_000811,credit_card,1,73.35
order_000812,credit_card,2,61.28
order_000813,credit_card,3,78.24
order_000814,credit_card,3,650.96
order_000815,credit_card,4,189.82
order_000816,credit_card,1,136.68
order_000817,credit_card,5,96.13
order_000818,credit_card,3,102.59
order_000819,credit_card,3,197.67999999999998
order_000820,voucher,1,136.03
order_000821,credit_card,7,491.5
order_000822,credit_card,1,678.72
order_000823,credit_card,7,152.98
order_000824,credit_card,4,101.99
order_000825,credit_card,6,642.54
order_000826,credit_card,3,347.96
order_000827,credit_card,1,294.24
order_000828,credit_card,5,366.88
order_000829,credit_card,2,38.29
order_000830,voucher,1,74.76
order_000831,credit_card,1,405.37
order_000832,credit_card,1,467.51
order_000833,credit_card,4,159.12
order_000834,credit_card,6,158.88
order_000835,credit_card,5,209.76
order_000836,credit_card,6,125.09
order_000837,credit_card,1,382.84
