order_id,customer_id,customer_state,order_status,order_purchase_timestamp,order_delivered_date,order_estimated_delivery_date,delivery_days,estimated_delivery_days,delivery_delta,review_score
order_000017,cust_000605,SP,shipped,2017-12-06 05:04:00,2017-12-15 05:04:00,2017-12-16 05:04:00,9.0,10,-1.0,4
order_000018,cust_008743,CE,delivered,2018-06-11 20:07:00,2018-06-27 20:07:00,2018-06-30 20:07:00,16.0,19,-3.0,4
order_000019,cust_004414,SP,delivered,2017-03-22 21:17:00,2017-04-04 21:17:00,2017-04-01 21:17:00,13.0,10,3.0,4
order_000020,cust_002513,SP,canceled,2018-03-24 03:03:00,2018-03-26 03:03:00,2018-04-03 03:03:00,2.0,10,-8.0,2
order_000021,cust_007043,BA,delivered,2017-09-02 04:14:00,2017-09-12 04:14:00,2017-09-15 04:14:00,10.0,13,-3.0,3
order_000022,cust_001177,AL,delivered,2017-09-17 05:26:00,2017-09-29 05:26:00,2017-10-06 05:26:00,12.0,19,-7.0,4
order_000023,cust_005181,TO,delivered,2018-03-25 20:47:00,2018-04-12 20:47:00,2018-04-13 20:47:00,18.0,19,-1.0,3
order_000024,cust_001197,RS,delivered,2017-11-23 13:45:00,2017-11-28 13:45:00,2017-12-06 13:45:00,5.0,13,-8.0,5
order_000025,cust_003311,SC,processing,2018-06-21 15:58:00,2018-07-04 15:58:00,2018-07-04 15:58:00,13.0,13,0.0,5
order_000026,cust_004285,SP,delivered,2017-03-29 21:55:00,2017-04-09 21:55:00,2017-04-08 21:55:00,11.0,10,1.0,4
order_000027,cust_007313,MG,unavailable,2018-06-09 03:10:00,2018-06-20 03:10:00,2018-06-19 03:10:00,11.0,10,1.0,4
order_000028,cust_008264,MG,delivered,2016-12-03 18:56:00,2016-12-07 18:56:00,2016-12-13 18:56:00,4.0,10,-6.0,4
order_000029,cust_005358,DF,delivered,2017-05-08 18:26:00,2017-05-27 18:26:00,2017-05-21 18:26:00,19.0,13,6.0,3
order_000030,cust_005309,RJ,delivered,2018-03-21 07:41:00,2018-03-29 07:41:00,2018-03-31 07:41:00,8.0,10,-2.0,4
order_000031,cust_001090,DF,delivered,2018-07-15 04:47:00,2018-08-01 04:47:00,2018-07-28 04:47:00,17.0,13,4.0,3
order_000032,cust_008546,PA,delivered,2017-07-03 02:25:00,2017-08-01 02:25:00,2017-07-22 02:25:00,29.0,19,10.0,2
order_000033,cust_009179,MG,delivered,2017-09-05 09:23:00,2017-09-23 09:23:00,2017-09-15 09:23:00,18.0,10,8.0,5
order_000034,cust_001591,RS,delivered,2017-12-22 12:06:00,2017-12-30 12:06:00,2018-01-04 12:06:00,8.0,13,-5.0,5
order_000035,cust_005901,RN,delivered,2017-05-25 11:22:00,2017-06-18 11:22:00,2017-06-13 11:22:00,24.0,19,5.0,5
order_000036,cust_008079,MG,canceled,2018-06-21 13:26:00,2018-07-13 13:26:00,2018-07-01 13:26:00,22.0,10,12.0,1
order_000037,cust_008779,RJ,delivered,2018-05-31 09:08:00,2018-06-20 09:08:00,2018-06-10 09:08:00,20.0,10,10.0,3
order_000038,cust_007791,SP,delivered,2017-03-17 11:55:00,2017-03-18 11:55:00,2017-03-27 11:55:00,1.0,10,-9.0,5
order_000039,cust_004797,DF,delivered,2017-11-22 02:12:00,2017-11-29 02:12:00,2017-12-05 02:12:00,7.0,13,-6.0,5
order_000040,cust_001565,SP,delivered,2018-05-31 05:58:00,2018-06-13 05:58:00,2018-06-10 05:58:00,13.0,10,3.0,5
order_000041,cust_003609,RS,delivered,2017-09-14 05:20:00,2017-10-02 05:20:00,2017-09-27 05:20:00,18.0,13,5.0,2
order_000042,cust_002929,MT,delivered,2018-03-07 18:24:00,2018-03-27 18:24:00,2018-03-26 18:24:00,20.0,19,1.0,4
order_000043,cust_000721,SP,delivered,2016-11-23 06:03:00,2016-12-02 06:03:00,2016-12-03 06:03:00,9.0,10,-1.0,4
order_000044,cust_001804,RS,delivered,2018-02-16 21:04:00,2018-03-08 21:04:00,2018-03-01 21:04:00,20.0,13,7.0,3
order_000045,cust_000654,RJ,shipped,2017-03-25 00:49:00,2017-03-30 00:49:00,2017-04-04 00:49:00,5.0,10,-5.0,5
order_000046,cust_008336,SP,delivered,2018-07-02 16:08:00,2018-07-12 16:08:00,2018-07-12 16:08:00,10.0,10,0.0,4
order_000047,cust_007684,SP,delivered,2017-09-28 08:52:00,2017-10-06 08:52:00,2017-10-08 08:52:00,8.0,10,-2.0,5
order_000048,cust_006453,AL,delivered,2017-07-29 23:09:00,2017-08-07 23:09:00,2017-08-17 23:09:00,9.0,19,-10.0,5
order_000049,cust_004239,RJ,delivered,2018-07-07 19:16:00,2018-07-17 19:16:00,2018-07-17 19:16:00,10.0,10,0.0,5
order_000050,cust_000892,MG,delivered,2016-11-23 12:28:00,2016-11-25 12:28:00,2016-12-03 12:28:00,2.0,10,-8.0,4
order_000051,cust_004290,SP,delivered,2017-10-30 03:22:00,2017-11-14 03:22:00,2017-11-09 03:22:00,15.0,10,5.0,5
order_000052,cust_001660,SP,delivered,2017-10-10 17:17:00,2017-10-11 17:17:00,2017-10-20 17:17:00,1.0,10,-9.0,4
order_000053,cust_004913,RJ,delivered,2017-08-01 21:08:00,2017-08-02 21:08:00,2017-08-11 21:08:00,1.0,10,-9.0,4
order_000054,cust_007336,TO,delivered,2018-08-15 02:06:00,2018-08-30 02:06:00,2018-09-03 02:06:00,15.0,19,-4.0,5
order_000055,cust_007350,RS,delivered,2018-05-17 14:29:00,2018-06-04 14:29:00,2018-05-30 14:29:00,18.0,13,5.0,5
order_000056,cust_003920,SC,shipped,2016-12-03 08:58:00,2016-12-11 08:58:00,2016-12-16 08:58:00,8.0,13,-5.0,5
order_000057,cust_006056,SP,delivered,2018-04-26 08:26:00,2018-05-03 08:26:00,2018-05-06 08:26:00,7.0,10,-3.0,5
order_000058,cust_001299,SP,delivered,2017-12-18 03:17:00,2017-12-29 03:17:00,2017-12-28 03:17:00,11.0,10,1.0,4
order_000059,cust_005318,CE,delivered,2018-08-09 16:53:00,2018-08-23 16:53:00,2018-08-28 16:53:00,14.0,19,-5.0,4
order_000060,cust_001660,SP,delivered,2017-08-25 20:05:00,2017-08-26 20:05:00,2017-09-04 20:05:00,1.0,10,-9.0,5
order_000061,cust_008625,RJ,delivered,2018-01-15 06:24:00,2018-01-22 06:24:00,2018-01-25 06:24:00,7.0,10,-3.0,5
order_000062,cust_000537,SP,delivered,2017-12-06 09:41:00,2017-12-12 09:41:00,2017-12-16 09:41:00,6.0,10,-4.0,3
order_000063,cust_004512,SP,delivered,2017-12-01 05:37:00,2017-12-05 05:37:00,2017-12-11 05:37:00,4.0,10,-6.0,5
order_000064,cust_001545,RJ,delivered,2017-11-20 18:28:00,2017-11-27 18:28:00,2017-11-30 18:28:00,7.0,10,-3.0,5
order_000065,cust_008284,SP,delivered,2017-05-20 07:08:00,2017-05-26 07:08:00,2017-05-30 07:08:00,6.0,10,-4.0,5
order_000066,cust_001910,MG,delivered,2018-05-20 00:15:00,2018-05-24 00:15:00,2018-05-30 00:15:00,4.0,10,-6.0,4
order_000067,cust_001753,PB,delivered,2017-11-18 05:22:00,2017-12-03 05:22:00,2017-12-07 05:22:00,15.0,19,-4.0,4
order_000068,cust_004236,RR,delivered,2018-09-08 07:46:00,2018-09-28 07:46:00,2018-09-27 07:46:00,20.0,19,1.0,3
order_000069,cust_008711,SC,delivered,2017-07-10 11:09:00,2017-07-28 11:09:00,2017-07-23 11:09:00,18.0,13,5.0,5
order_000070,cust_001184,RJ,delivered,2018-04-07 15:46:00,2018-04-10 15:46:00,2018-04-17 15:46:00,3.0,10,-7.0,5
order_000071,cust_008126,SP,delivered,2018-08-30 10:23:00,2018-09-13 10:23:00,2018-09-09 10:23:00,14.0,10,4.0,3
order_000072,cust_000733,SP,delivered,2018-03-26 06:07:00,2018-04-05 06:07:00,2018-04-05 06:07:00,10.0,10,0.0,4
order_000073,cust_001851,SP,delivered,2018-07-24 10:40:00,2018-07-25 10:40:00,2018-08-03 10:40:00,1.0,10,-9.0,5
order_000074,cust_006520,SP,delivered,2018-06-30 06:14:00,2018-07-10 06:14:00,2018-07-10 06:14:00,10.0,10,0.0,4
order_000075,cust_008586,PR,delivered,2017-10-02 14:47:00,2017-10-14 14:47:00,2017-10-15 14:47:00,12.0,13,-1.0,5
order_000076,cust_006257,SP,delivered,2018-02-09 02:15:00,2018-02-20 02:15:00,2018-02-19 02:15:00,11.0,10,1.0,4
order_000077,cust_002517,SP,delivered,2017-03-29 14:24:00,2017-04-01 14:24:00,2017-04-08 14:24:00,3.0,10,-7.0,4
order_000078,cust_007589,SP,delivered,2017-12-21 00:13:00,2017-12-22 00:13:00,2017-12-31 00:13:00,1.0,10,-9.0,5
order_000079,cust_003327,SP,delivered,2017-06-12 23:53:00,2017-06-13 23:53:00,2017-06-22 23:53:00,1.0,10,-9.0,5
order_000080,cust_006124,BA,delivered,2018-05-13 10:02:00,2018-05-25 10:02:00,2018-05-26 10:02:00,12.0,13,-1.0,5
order_000081,cust_008523,RS,delivered,2017-12-18 08:05:00,2018-01-03 08:05:00,2017-12-31 08:05:00,16.0,13,3.0,5
order_000082,cust_000246,PR,delivered,2017-11-05 22:15:00,2017-11-19 22:15:00,2017-11-18 22:15:00,14.0,13,1.0,3
order_000083,cust_005324,PB,delivered,2017-07-18 10:49:00,2017-08-07 10:49:00,2017-08-06 10:49:00,20.0,19,1.0,4
order_000084,cust_007587,MG,delivered,2018-09-29 16:48:00,2018-10-16 16:48:00,2018-10-09 16:48:00,17.0,10,7.0,3
order_000085,cust_003138,DF,delivered,2016-12-10 02:58:00,2016-12-23 02:58:00,2016-12-23 02:58:00,13.0,13,0.0,5
order_000086,cust_000341,RS,delivered,2016-11-18 18:23:00,2016-11-27 18:23:00,2016-12-01 18:23:00,9.0,13,-4.0,5
order_000087,cust_002434,MG,delivered,2017-05-31 22:46:00,2017-06-19 22:46:00,2017-06-10 22:46:00,19.0,10,9.0,3
order_000088,cust_000341,RS,delivered,2018-09-15 09:07:00,2018-09-22 09:07:00,2018-09-28 09:07:00,7.0,13,-6.0,5
order_000089,cust_000107,ES,delivered,2018-09-19 16:35:00,2018-09-24 16:35:00,2018-10-02 16:35:00,5.0,13,-8.0,3
order_000090,cust_006820,PA,canceled,2018-03-21 07:57:00,2018-04-14 07:57:00,2018-04-09 07:57:00,24.0,19,5.0,1
order_000091,cust_000573,SP,shipped,2018-07-29 01:22:00,2018-07-30 01:22:00,2018-08-08 01:22:00,1.0,10,-9.0,4
order_000092,cust_005093,PR,delivered,2017-05-28 07:29:00,2017-06-01 07:29:00,2017-06-10 07:29:00,4.0,13,-9.0,5
order_000093,cust_005521,RS,delivered,2018-09-15 06:27:00,2018-09-21 06:27:00,2018-09-28 06:27:00,6.0,13,-7.0,4
order_000094,cust_005226,BA,delivered,2017-03-14 08:49:00,2017-03-17 08:49:00,2017-03-27 08:49:00,3.0,13,-10.0,4
order_000095,cust_007802,RJ,shipped,2017-01-09 16:31:00,2017-01-17 16:31:00,2017-01-19 16:31:00,8.0,10,-2.0,5
order_000096,cust_002384,RS,delivered,2017-01-29 00:26:00,2017-02-21 00:26:00,2017-02-11 00:26:00,23.0,13,10.0,4
order_000097,cust_005920,RJ,delivered,2018-01-14 11:35:00,2018-01-19 11:35:00,2018-01-24 11:35:00,5.0,10,-5.0,4
order_000098,cust_008800,SP,delivered,2018-06-04 16:06:00,2018-06-05 16:06:00,2018-06-14 16:06:00,1.0,10,-9.0,4
order_000099,cust_002812,SP,canceled,2017-10-07 23:02:00,2017-10-08 23:02:00,2017-10-17 23:02:00,1.0,10,-9.0,1
order_000100,cust_000246,PR,processing,2018-09-18 00:50:00,2018-10-01 00:50:00,2018-10-01 00:50:00,13.0,13,0.0,5
order_000101,cust_007696,SP,delivered,2017-11-13 01:37:00,2017-11-20 01:37:00,2017-11-23 01:37:00,7.0,10,-3.0,4
order_000102,cust_002739,SP,delivered,2017-03-23 10:54:00,2017-04-05 10:54:00,2017-04-02 10:54:00,13.0,10,3.0,3
order_000103,cust_004823,SP,delivered,2017-11-23 20:35:00,2017-12-02 20:35:00,2017-12-03 20:35:00,9.0,10,-1.0,4
order_000104,cust_005060,SP,canceled,2018-04-04 00:42:00,2018-04-07 00:42:00,2018-04-14 00:42:00,3.0,10,-7.0,2
order_000105,cust_007040,MS,delivered,2018-07-03 15:37:00,2018-07-12 15:37:00,2018-07-22 15:37:00,9.0,19,-10.0,4
order_000106,cust_008402,SP,delivered,2017-11-21 10:07:00,2017-11-22 10:07:00,2017-12-01 10:07:00,1.0,10,-9.0,5
order_000107,cust_005252,SP,delivered,2018-02-03 19:00:00,2018-02-10 19:00:00,2018-02-13 19:00:00,7.0,10,-3.0,5
order_000108,cust_005838,SP,delivered,2017-07-16 13:29:00,2017-07-17 13:29:00,2017-07-26 13:29:00,1.0,10,-9.0,5
order_000109,cust_008685,RJ,delivered,2018-03-15 20:57:00,2018-03-16 20:57:00,2018-03-25 20:57:00,1.0,10,-9.0,4
order_000110,cust_001017,PR,delivered,2018-09-22 20:33:00,2018-10-01 20:33:00,2018-10-05 20:33:00,9.0,13,-4.0,4
order_000111,cust_003490,SP,delivered,2016-11-22 05:25:00,2016-11-26 05:25:00,2016-12-02 05:25:00,4.0,10,-6.0,4
order_000112,cust_002884,MG,delivered,2018-08-01 08:13:00,2018-08-11 08:13:00,2018-08-11 08:13:00,10.0,10,0.0,5
order_000113,cust_002814,RJ,delivered,2018-01-04 21:39:00,2018-01-10 21:39:00,2018-01-14 21:39:00,6.0,10,-4.0,4
order_000114,cust_008714,SP,delivered,2017-07-03 02:41:00,2017-07-07 02:41:00,2017-07-13 02:41:00,4.0,10,-6.0,5
order_000115,cust_004914,RJ,delivered,2018-09-06 17:19:00,2018-09-16 17:19:00,2018-09-16 17:19:00,10.0,10,0.0,5
order_000116,cust_007915,SP,delivered,2017-11-29 08:40:00,2017-12-07 08:40:00,2017-12-09 08:40:00,8.0,10,-2.0,5
order_000117,cust_003064,PR,delivered,2017-09-09 18:59:00,2017-09-20 18:59:00,2017-09-22 18:59:00,11.0,13,-2.0,5
order_000118,cust_000589,PR,delivered,2017-04-25 12:32:00,2017-04-26 12:32:00,2017-05-08 12:32:00,1.0,13,-12.0,5
order_000119,cust_007224,SP,delivered,2017-06-26 16:03:00,2017-07-01 16:03:00,2017-07-06 16:03:00,5.0,10,-5.0,2
order_000120,cust_008399,SP,delivered,2018-07-03 03:58:00,2018-07-09 03:58:00,2018-07-13 03:58:00,6.0,10,-4.0,4
order_000121,cust_002233,DF,delivered,2018-02-21 15:59:00,2018-03-06 15:59:00,2018-03-06 15:59:00,13.0,13,0.0,5
order_000122,cust_005180,SP,delivered,2018-08-16 15:46:00,2018-09-01 15:46:00,2018-08-26 15:46:00,16.0,10,6.0,5
order_000123,cust_001313,RR,delivered,2017-06-14 05:36:00,2017-06-24 05:36:00,2017-07-03 05:36:00,10.0,19,-9.0,4
order_000124,cust_008169,SP,delivered,2017-02-13 21:41:00,2017-02-15 21:41:00,2017-02-23 21:41:00,2.0,10,-8.0,5
order_000125,cust_000970,BA,shipped,2016-10-11 06:06:00,2016-10-28 06:06:00,2016-10-24 06:06:00,17.0,13,4.0,4
order_000126,cust_004706,PA,delivered,2017-12-09 09:29:00,2017-12-24 09:29:00,2017-12-28 09:29:00,15.0,19,-4.0,4
order_000127,cust_006589,SP,delivered,2018-09-29 09:56:00,2018-10-08 09:56:00,2018-10-09 09:56:00,9.0,10,-1.0,4
order_000128,cust_009362,MG,delivered,2018-04-14 14:05:00,2018-04-15 14:05:00,2018-04-24 14:05:00,1.0,10,-9.0,5
order_000129,cust_003185,GO,delivered,2017-08-21 23:01:00,2017-08-27 23:01:00,2017-09-03 23:01:00,6.0,13,-7.0,4
order_000130,cust_007264,SP,delivered,2018-07-27 07:56:00,2018-08-01 07:56:00,2018-08-06 07:56:00,5.0,10,-5.0,4
order_000131,cust_007126,SC,delivered,2018-06-04 19:14:00,2018-06-26 19:14:00,2018-06-17 19:14:00,22.0,13,9.0,4
order_000132,cust_002375,SP,delivered,2016-10-27 20:20:00,2016-11-08 20:20:00,2016-11-06 20:20:00,12.0,10,2.0,4
order_000133,cust_004444,RS,delivered,2018-06-24 17:04:00,2018-07-01 17:04:00,2018-07-07 17:04:00,7.0,13,-6.0,4
order_000134,cust_006450,RS,delivered,2017-08-14 03:09:00,2017-08-23 03:09:00,2017-08-27 03:09:00,9.0,13,-4.0,5
order_000135,cust_000198,RS,delivered,2017-03-22 18:45:00,2017-04-01 18:45:00,2017-04-04 18:45:00,10.0,13,-3.0,5
order_000136,cust_003248,RS,delivered,2017-06-09 22:23:00,2017-06-16 22:23:00,2017-06-22 22:23:00,7.0,13,-6.0,3
order_000137,cust_000582,SP,shipped,2017-11-24 12:09:00,2017-12-01 12:09:00,2017-12-04 12:09:00,7.0,10,-3.0,3
order_000138,cust_005276,RJ,delivered,2017-11-09 21:05:00,2017-11-28 21:05:00,2017-11-19 21:05:00,19.0,10,9.0,2
order_000139,cust_006750,SP,shipped,2017-08-04 12:20:00,2017-08-18 12:20:00,2017-08-14 12:20:00,14.0,10,4.0,5
order_000140,cust_004706,PA,delivered,2017-04-15 10:53:00,2017-04-30 10:53:00,2017-05-04 10:53:00,15.0,19,-4.0,5
order_000141,cust_008284,SP,delivered,2018-05-24 14:01:00,2018-06-08 14:01:00,2018-06-03 14:01:00,15.0,10,5.0,4
order_000142,cust_003968,SP,delivered,2018-09-24 14:50:00,2018-09-25 14:50:00,2018-10-04 14:50:00,1.0,10,-9.0,5
order_000143,cust_005054,AL,delivered,2018-06-02 16:19:00,2018-06-24 16:19:00,2018-06-21 16:19:00,22.0,19,3.0,5
order_000144,cust_001426,PR,delivered,2017-08-10 17:05:00,2017-08-11 17:05:00,2017-08-23 17:05:00,1.0,13,-12.0,4
order_000145,cust_001841,RS,delivered,2017-06-26 14:16:00,2017-06-27 14:16:00,2017-07-09 14:16:00,1.0,13,-12.0,5
order_000146,cust_007287,SP,delivered,2017-05-31 23:25:00,2017-06-07 23:25:00,2017-06-10 23:25:00,7.0,10,-3.0,5
order_000147,cust_003204,SP,delivered,2017-03-07 21:08:00,2017-03-14 21:08:00,2017-03-17 21:08:00,7.0,10,-3.0,5
order_000148,cust_005593,SP,canceled,2017-12-28 11:21:00,2018-01-09 11:21:00,2018-01-07 11:21:00,12.0,10,2.0,2
order_000149,cust_004052,MG,delivered,2018-02-13 22:36:00,2018-02-25 22:36:00,2018-02-23 22:36:00,12.0,10,2.0,4
order_000150,cust_000704,MG,delivered,2018-04-21 13:23:00,2018-05-08 13:23:00,2018-05-01 13:23:00,17.0,10,7.0,5
order_000151,cust_001069,SP,delivered,2018-04-05 07:25:00,2018-04-12 07:25:00,2018-04-15 07:25:00,7.0,10,-3.0,5
order_000152,cust_007728,SP,delivered,2017-08-07 21:48:00,2017-08-14 21:48:00,2017-08-17 21:48:00,7.0,10,-3.0,4
order_000153,cust_006480,SP,delivered,2017-09-08 08:02:00,2017-09-23 08:02:00,2017-09-18 08:02:00,15.0,10,5.0,3
order_000154,cust_006817,MG,delivered,2018-04-06 06:11:00,2018-04-07 06:11:00,2018-04-16 06:11:00,1.0,10,-9.0,5
order_000155,cust_006428,SP,shipped,2017-09-23 02:40:00,2017-09-29 02:40:00,2017-10-03 02:40:00,6.0,10,-4.0,4
order_000156,cust_006277,SP,delivered,2017-05-26 13:22:00,2017-05-28 13:22:00,2017-06-05 13:22:00,2.0,10,-8.0,5
order_000157,cust_008960,SC,delivered,2017-10-13 22:54:00,2017-10-16 22:54:00,2017-10-26 22:54:00,3.0,13,-10.0,5
order_000158,cust_008451,SP,delivered,2017-07-21 17:10:00,2017-07-31 17:10:00,2017-07-31 17:10:00,10.0,10,0.0,5
order_000159,cust_006646,SP,delivered,2016-12-24 03:25:00,2016-12-25 03:25:00,2017-01-03 03:25:00,1.0,10,-9.0,5
order_000160,cust_006735,RJ,delivered,2018-07-02 07:27:00,2018-07-06 07:27:00,2018-07-12 07:27:00,4.0,10,-6.0,3
order_000161,cust_000858,SP,delivered,2018-07-14 17:12:00,2018-07-21 17:12:00,2018-07-24 17:12:00,7.0,10,-3.0,5
order_000162,cust_008275,GO,delivered,2017-06-02 03:41:00,2017-06-14 03:41:00,2017-06-15 03:41:00,12.0,13,-1.0,5
order_000163,cust_007601,MG,delivered,2016-12-04 07:43:00,2016-12-19 07:43:00,2016-12-14 07:43:00,15.0,10,5.0,4
order_000164,cust_005275,SP,delivered,2018-05-10 18:11:00,2018-05-23 18:11:00,2018-05-20 18:11:00,13.0,10,3.0,4
order_000165,cust_003561,GO,delivered,2017-05-25 21:59:00,2017-06-09 21:59:00,2017-06-07 21:59:00,15.0,13,2.0,3
order_000166,cust_006471,SP,delivered,2017-10-27 01:55:00,2017-10-28 01:55:00,2017-11-06 01:55:00,1.0,10,-9.0,4
order_000167,cust_002393,SP,delivered,2016-12-03 07:27:00,2016-12-22 07:27:00,2016-12-13 07:27:00,19.0,10,9.0,5
order_000168,cust_006240,SP,delivered,2017-06-09 12:32:00,2017-06-14 12:32:00,2017-06-19 12:32:00,5.0,10,-5.0,4
order_000169,cust_002684,BA,delivered,2018-06-11 02:33:00,2018-06-16 02:33:00,2018-06-24 02:33:00,5.0,13,-8.0,5
order_000170,cust_002230,SP,shipped,2018-06-17 22:54:00,2018-06-19 22:54:00,2018-06-27 22:54:00,2.0,10,-8.0,3
order_000171,cust_009005,SP,delivered,2017-05-21 19:27:00,2017-05-22 19:27:00,2017-05-31 19:27:00,1.0,10,-9.0,5
order_000172,cust_003747,RJ,delivered,2017-09-12 07:02:00,2017-09-22 07:02:00,2017-09-22 07:02:00,10.0,10,0.0,5
order_000173,cust_000895,RJ,delivered,2017-03-04 20:29:00,2017-03-05 20:29:00,2017-03-14 20:29:00,1.0,10,-9.0,4
order_000174,cust_008852,RS,delivered,2016-12-12 14:29:00,2016-12-13 14:29:00,2016-12-25 14:29:00,1.0,13,-12.0,4
order_000175,cust_008227,MG,delivered,2018-09-26 01:24:00,2018-10-14 01:24:00,2018-10-06 01:24:00,18.0,10,8.0,5
order_000176,cust_001110,PR,delivered,2018-03-21 16:58:00,2018-04-10 16:58:00,2018-04-03 16:58:00,20.0,13,7.0,3
order_000177,cust_003745,SP,delivered,2017-12-24 23:37:00,2017-12-25 23:37:00,2018-01-03 23:37:00,1.0,10,-9.0,5
order_000178,cust_006823,SP,delivered,2018-05-26 00:35:00,2018-05-27 00:35:00,2018-06-05 00:35:00,1.0,10,-9.0,5
order_000179,cust_009350,BA,delivered,2018-07-07 18:06:00,2018-07-23 18:06:00,2018-07-20 18:06:00,16.0,13,3.0,4
order_000180,cust_002137,SP,delivered,2018-06-18 22:53:00,2018-06-19 22:53:00,2018-06-28 22:53:00,1.0,10,-9.0,4
order_000181,cust_001840,BA,canceled,2016-10-28 13:25:00,2016-11-04 13:25:00,2016-11-10 13:25:00,7.0,13,-6.0,2
order_000182,cust_001910,MG,delivered,2017-05-01 13:41:00,2017-05-06 13:41:00,2017-05-11 13:41:00,5.0,10,-5.0,5
order_000183,cust_000742,SP,delivered,2018-03-21 23:06:00,2018-03-22 23:06:00,2018-03-31 23:06:00,1.0,10,-9.0,5
order_000184,cust_003160,SP,canceled,2017-10-14 15:35:00,2017-10-15 15:35:00,2017-10-24 15:35:00,1.0,10,-9.0,1
order_000185,cust_001316,SP,delivered,2018-09-21 06:14:00,2018-09-22 06:14:00,2018-10-01 06:14:00,1.0,10,-9.0,5
order_000186,cust_004541,SP,delivered,2018-03-27 16:02:00,2018-04-06 16:02:00,2018-04-06 16:02:00,10.0,10,0.0,4
order_000187,cust_007566,RJ,delivered,2018-09-07 15:01:00,2018-09-10 15:01:00,2018-09-17 15:01:00,3.0,10,-7.0,5
order_000188,cust_007944,MG,delivered,2017-05-15 06:56:00,2017-05-16 06:56:00,2017-05-25 06:56:00,1.0,10,-9.0,5
order_000189,cust_007007,TO,delivered,2018-07-20 15:20:00,2018-08-10 15:20:00,2018-08-08 15:20:00,21.0,19,2.0,5
order_000190,cust_006582,SP,delivered,2017-09-01 08:11:00,2017-09-13 08:11:00,2017-09-11 08:11:00,12.0,10,2.0,4
order_000191,cust_009232,SP,delivered,2018-09-24 23:32:00,2018-10-03 23:32:00,2018-10-04 23:32:00,9.0,10,-1.0,5
order_000192,cust_008108,ES,delivered,2017-03-31 13:42:00,2017-04-19 13:42:00,2017-04-13 13:42:00,19.0,13,6.0,4
order_000193,cust_001731,SP,shipped,2017-12-13 17:53:00,2017-12-26 17:53:00,2017-12-23 17:53:00,13.0,10,3.0,5
order_000194,cust_007409,RS,delivered,2018-06-11 04:14:00,2018-06-24 04:14:00,2018-06-24 04:14:00,13.0,13,0.0,4
order_000195,cust_001567,RJ,delivered,2017-11-12 06:24:00,2017-11-14 06:24:00,2017-11-22 06:24:00,2.0,10,-8.0,5
order_000196,cust_001810,SE,canceled,2017-11-24 13:51:00,2017-12-16 13:51:00,2017-12-13 13:51:00,22.0,19,3.0,1
order_000197,cust_007874,RJ,delivered,2018-09-23 07:35:00,2018-09-29 07:35:00,2018-10-03 07:35:00,6.0,10,-4.0,3
