order_id,product_id,product_category,seller_id,price,freight_value
order_000121,prod_00286,auto,seller_0008,329.08,61.17
order_000121,prod_01172,stationery,seller_0086,103.1,13.3
order_000122,prod_00238,health_beauty,seller_0207,297.23,63.75
order_000122,prod_00037,housewares,seller_0340,102.89,15.52
order_000123,prod_00450,bed_bath_table,seller_0367,235.89,17.08
order_000123,prod_00793,bed_bath_table,seller_0262,105.73,25.75
order_000124,prod_01103,electronics,seller_0351,119.94,22.69
order_000124,prod_00884,pet_shop,seller_0022,186.36,10.66
order_000125,prod_00730,garden_tools,seller_0296,100.56,13.63
order_000126,prod_00544,health_beauty,seller_0243,386.25,73.72
order_000126,prod_00568,toys,seller_0006,27.85,7.0
order_000127,prod_00563,housewares,seller_0100,45.44,7.0
order_000128,prod_00826,housewares,seller_0057,64.45,14.06
order_000129,prod_00596,bed_bath_table,seller_0093,121.07,10.05
order_000130,prod_01004,computers_accessories,seller_0113,80.18,15.96
order_000131,prod_00255,computers_accessories,seller_0276,73.72,7.0
order_000132,prod_00184,furniture_decor,seller_0364,250.46,61.55
order_000133,prod_00365,garden_tools,seller_0157,231.46,45.19
order_000134,prod_00053,bed_bath_table,seller_0271,119.37,26.48
order_000134,prod_00223,garden_tools,seller_0338,167.32,18.91
order_000135,prod_01054,electronics,seller_0250,141.88,12.77
order_000136,prod_00027,bed_bath_table,seller_0363,234.26,55.83
order_000137,prod_00230,furniture_decor,seller_0037,130.64,17.06
order_000138,prod_00574,cool_stuff,seller_0091,117.18,8.31
order_000139,prod_00020,health_beauty,seller_0091,227.62,26.67
order_000140,prod_00314,health_beauty,seller_0045,550.84,99.0
order_000141,prod_01117,toys,seller_0261,55.58,13.85
order_000142,prod_00244,baby,seller_0053,155.37,12.57
order_000143,prod_00162,furniture_decor,seller_0025,140.58,12.74
order_000144,prod_00293,toys,seller_0241,33.87,7.0
order_000144,prod_00945,furniture_decor,seller_0306,171.39,25.72
order_000145,prod_01014,telephony,seller_0063,258.93,21.46
order_000145,prod_00620,bed_bath_table,seller_0169,112.49,23.23
order_000146,prod_01144,watches_gifts,seller_0286,61.47,7.0
order_000147,prod_00212,housewares,seller_0114,55.42,7.0
order_000148,prod_00272,bed_bath_table,seller_0063,181.96,43.96
order_000149,prod_00585,sports_leisure,seller_0372,152.4,26.38
order_000150,prod_00313,construction_tools,seller_0217,120.02,15.85
order_000151,prod_00127,housewares,seller_0093,135.24,28.96
order_000152,prod_00448,auto,seller_0105,279.0,39.6
order_000153,prod_00248,office_furniture,seller_0116,197.99,11.47
order_000154,prod_00268,housewares,seller_0270,114.0,13.2
order_000154,prod_00452,stationery,seller_0075,156.64,25.87
order_000155,prod_00455,health_beauty,seller_0286,432.11,38.78
order_000156,prod_00439,sports_leisure,seller_0013,290.49,29.87
order_000157,prod_00711,furniture_decor,seller_0104,241.78,27.5
order_000158,prod_01160,housewares,seller_0273,62.71,11.86
order_000159,prod_00404,housewares,seller_0214,38.41,7.24
order_000160,prod_00547,auto,seller_0225,173.48,13.09
order_000161,prod_00208,health_beauty,seller_0200,389.23,62.27
order_000161,prod_00043,housewares,seller_0209,55.09,7.0
order_000162,prod_00238,health_beauty,seller_0308,379.43,25.61
order_000163,prod_01029,health_beauty,seller_0098,202.03,23.66
order_000164,prod_00938,bed_bath_table,seller_0200,106.72,21.94
order_000164,prod_00706,auto,seller_0082,127.57,22.13
order_000165,prod_00103,auto,seller_0134,157.28,12.52
order_000166,prod_00777,furniture_decor,seller_0279,207.09,33.59
order_000167,prod_00185,health_beauty,seller_0063,278.9,69.28
order_000168,prod_00932,perfumery,seller_0068,130.78,13.43
order_000169,prod_00159,furniture_decor,seller_0099,324.42,78.51
order_000169,prod_00431,garden_tools,seller_0069,291.4,32.07
order_000170,prod_00672,bed_bath_table,seller_0022,209.11,40.42
order_000170,prod_00513,electronics,seller_0189,98.75,21.15
order_000171,prod_00370,auto,seller_0138,356.49,56.45
order_000172,prod_00294,stationery,seller_0099,216.83,32.28
order_000172,prod_00934,cool_stuff,seller_0227,491.96,53.46
order_000173,prod_00566,auto,seller_0117,329.73,76.18
order_000173,prod_00378,cool_stuff,seller_0157,445.55,53.28
order_000174,prod_00518,watches_gifts,seller_0245,46.69,7.0
order_000175,prod_00166,sports_leisure,seller_0026,122.08,27.19
order_000176,prod_00712,perfumery,seller_0397,502.4,85.21
order_000176,prod_00158,housewares,seller_0315,20.2,7.0
order_000177,prod_00469,cool_stuff,seller_0128,429.55,48.23
order_000177,prod_00698,watches_gifts,seller_0360,65.77,14.8
order_000178,prod_00970,sports_leisure,seller_0046,192.55,39.93
order_000179,prod_00475,perfumery,seller_0345,219.43,12.06
order_000180,prod_00647,furniture_decor,seller_0005,340.17,43.4
order_000181,prod_00086,cool_stuff,seller_0391,249.55,19.39
order_000182,prod_00900,health_beauty,seller_0202,312.15,38.46
order_000182,prod_01199,sports_leisure,seller_0362,364.84,79.49
order_000183,prod_01115,stationery,seller_0100,50.93,10.86
order_000184,prod_00986,computers_accessories,seller_0328,133.09,24.49
order_000185,prod_01132,perfumery,seller_0132,522.42,96.23
order_000186,prod_01072,computers_accessories,seller_0146,124.48,7.88
order_000187,prod_00146,bed_bath_table,seller_0386,67.36,8.77
order_000188,prod_00409,electronics,seller_0364,125.97,10.67
order_000188,prod_00420,fashion_bags_accessories,seller_0107,127.03,28.19
order_000189,prod_00932,perfumery,seller_0030,205.66,38.84
order_000189,prod_00626,toys,seller_0059,59.27,8.37
order_000189,prod_00771,bed_bath_table,seller_0089,121.32,7.48
order_000190,prod_00036,bed_bath_table,seller_0195,93.6,17.27
order_000190,prod_01066,bed_bath_table,seller_0242,161.14,34.51
order_000191,prod_00855,housewares,seller_0136,50.32,7.0
order_000191,prod_00896,garden_tools,seller_0175,144.5,11.09
order_000191,prod_01154,bed_bath_table,seller_0365,190.89,27.34
order_000192,prod_00111,garden_tools,seller_0241,104.53,8.12
order_000193,prod_01039,pet_shop,seller_0103,179.76,30.08
order_000193,prod_00947,furniture_decor,seller_0289,355.9,19.76
order_000194,prod_00397,health_beauty,seller_0151,305.31,73.66
order_000194,prod_00201,computers_accessories,seller_0015,82.01,8.25
order_000195,prod_00299,furniture_decor,seller_0180,264.15,16.82
order_000196,prod_01014,telephony,seller_0296,330.56,22.93
order_000197,prod_00938,bed_bath_table,seller_0298,141.23,14.28
order_000198,prod_00088,health_beauty,seller_0214,403.5,93.93
order_000199,prod_00294,stationery,seller_0233,173.58,31.54
order_000199,prod_01160,housewares,seller_0216,93.02,15.9
order_000200,prod_01111,auto,seller_0288,411.62,86.64
order_000200,prod_01009,bed_bath_table,seller_0013,104.34,7.06
order_000201,prod_00725,pet_shop,seller_0399,283.4,52.94
order_000202,prod_00563,housewares,seller_0367,41.19,8.85
order_000203,prod_01120,watches_gifts,seller_0168,25.54,7.0
order_000203,prod_00616,health_beauty,seller_0144,232.49,46.76
order_000203,prod_00876,housewares,seller_0257,85.88,8.56
order_000204,prod_01107,housewares,seller_0148,141.28,26.52
order_000205,prod_00444,housewares,seller_0230,76.65,7.0
order_000205,prod_00017,toys,seller_0275,46.31,8.9
order_000206,prod_00362,furniture_decor,seller_0287,174.9,29.99
order_000207,prod_00884,pet_shop,seller_0057,163.06,19.47
order_000208,prod_00512,baby,seller_0289,45.14,7.0
order_000209,prod_01013,bed_bath_table,seller_0082,139.79,15.6
order_000210,prod_01179,furniture_decor,seller_0117,112.99,26.02
order_000211,prod_00724,sports_leisure,seller_0394,273.89,27.49
order_000212,prod_00621,housewares,seller_0052,57.69,7.21
order_000213,prod_01183,office_furniture,seller_0278,192.12,14.6
order_000214,prod_00757,cool_stuff,seller_0393,353.66,49.34
order_000215,prod_00964,bed_bath_table,seller_0378,248.44,24.36
order_000216,prod_00194,housewares,seller_0037,142.55,9.17
order_000217,prod_00431,garden_tools,seller_0259,262.65,39.12
order_000218,prod_01132,perfumery,seller_0291,375.12,25.44
order_000219,prod_00467,sports_leisure,seller_0072,309.85,29.28
order_000220,prod_00338,furniture_decor,seller_0142,153.96,32.56
order_000221,prod_00318,auto,seller_0021,327.48,81.76
order_000222,prod_00756,telephony,seller_0146,290.57,43.84
order_000223,prod_00408,perfumery,seller_0366,338.37,40.46
order_000224,prod_00830,watches_gifts,seller_0246,42.23,7.0
order_000225,prod_00492,fashion_bags_accessories,seller_0081,103.06,8.19
order_000226,prod_00795,housewares,seller_0166,94.56,18.37
order_000227,prod_00659,auto,seller_0238,128.52,21.1
order_000228,prod_00748,furniture_decor,seller_0007,140.99,22.23
order_000229,prod_00577,auto,seller_0183,150.84,20.29
order_000230,prod_01097,baby,seller_0196,69.67,10.69
order_000231,prod_00119,bed_bath_table,seller_0201,153.66,17.01
order_000231,prod_00018,bed_bath_table,seller_0130,93.85,11.81
order_000232,prod_00774,housewares,seller_0216,99.83,22.1
order_000233,prod_00141,sports_leisure,seller_0160,221.77,38.5
order_000234,prod_00670,telephony,seller_0386,116.81,17.48
order_000235,prod_00671,sports_leisure,seller_0302,171.28,27.29
order_000236,prod_01086,telephony,seller_0133,348.72,82.39
order_000237,prod_01063,watches_gifts,seller_0371,36.65,7.0
order_000238,prod_00089,auto,seller_0327,251.82,49.53
order_000239,prod_00814,health_beauty,seller_0320,300.78,65.43
order_000239,prod_00893,sports_leisure,seller_0087,465.61,62.11
order_000239,prod_00467,sports_leisure,seller_0233,366.23,44.9
order_000240,prod_00008,office_furniture,seller_0000,89.97,19.46
order_000241,prod_01044,bed_bath_table,seller_0330,95.94,8.43
order_000242,prod_01092,health_beauty,seller_0223,234.67,24.52
order_000242,prod_00530,cool_stuff,seller_0186,440.97,45.48
order_000243,prod_01003,computers_accessories,seller_0053,74.37,10.12
order_000244,prod_00341,housewares,seller_0023,49.81,7.0
order_000244,prod_00946,computers_accessories,seller_0019,79.31,18.84
order_000245,prod_00634,cool_stuff,seller_0174,510.61,60.24
order_000246,prod_00599,toys,seller_0350,57.06,7.44
order_000247,prod_01085,health_beauty,seller_0053,155.39,38.51
order_000248,prod_00199,auto,seller_0287,200.78,28.0
order_000249,prod_00037,housewares,seller_0102,135.29,22.4
order_000249,prod_00381,furniture_decor,seller_0215,295.11,55.78
order_000250,prod_00663,furniture_decor,seller_0230,234.76,48.35
order_000250,prod_00267,health_beauty,seller_0296,182.62,9.67
order_000251,prod_00500,health_beauty,seller_0224,171.47,15.23
order_000252,prod_00654,health_beauty,seller_0379,467.66,61.82
order_000253,prod_00058,bed_bath_table,seller_0347,261.16,32.09
order_000254,prod_00990,health_beauty,seller_0190,431.43,56.45
order_000255,prod_00050,computers_accessories,seller_0341,68.56,13.7
order_000256,prod_00914,electronics,seller_0278,57.42,7.0
order_000257,prod_00000,furniture_decor,seller_0130,261.81,13.82
order_000258,prod_00265,toys,seller_0291,25.05,7.0
order_000259,prod_00810,auto,seller_0198,410.4,74.0
order_000260,prod_01144,watches_gifts,seller_0285,68.02,10.69
order_000261,prod_00533,computers_accessories,seller_0169,125.4,7.58
order_000262,prod_00784,sports_leisure,seller_0224,279.79,67.3
order_000263,prod_00861,auto,seller_0214,236.44,20.63
order_000264,prod_01129,garden_tools,seller_0062,366.78,19.89
order_000264,prod_00769,health_beauty,seller_0107,333.64,48.37
order_000265,prod_01050,telephony,seller_0197,118.26,14.32
order_000266,prod_00202,auto,seller_0313,201.72,48.69
order_000267,prod_00292,sports_leisure,seller_0287,302.83,30.36
order_000268,prod_00695,toys,seller_0110,36.08,7.0
order_000269,prod_00574,cool_stuff,seller_0000,122.14,17.57
order_000270,prod_00137,health_beauty,seller_0151,187.83,15.61
order_000270,prod_01029,health_beauty,seller_0264,211.62,13.15
order_000270,prod_00876,housewares,seller_0160,91.66,7.0
order_000271,prod_00874,bed_bath_table,seller_0007,230.29,34.67
order_000272,prod_00797,sports_leisure,seller_0151,187.98,22.49
order_000272,prod_01158,health_beauty,seller_0117,312.72,67.5
order_000272,prod_00811,watches_gifts,seller_0262,19.56,7.0
order_000273,prod_00872,telephony,seller_0349,243.22,31.75
order_000273,prod_00805,sports_leisure,seller_0124,271.89,37.82
order_000274,prod_00949,housewares,seller_0288,43.94,9.72
order_000275,prod_01027,baby,seller_0173,41.97,7.0
order_000276,prod_01087,baby,seller_0066,54.55,7.0
order_000277,prod_00242,pet_shop,seller_0089,203.69,10.37
order_000278,prod_00892,sports_leisure,seller_0129,182.31,24.8
order_000278,prod_00750,furniture_decor,seller_0183,111.41,21.26
order_000279,prod_00532,electronics,seller_0304,104.34,8.72
order_000280,prod_00411,bed_bath_table,seller_0196,128.15,16.79
order_000281,prod_00630,baby,seller_0252,75.82,9.57
order_000282,prod_00205,pet_shop,seller_0104,124.67,7.0
order_000283,prod_00643,computers_accessories,seller_0110,63.72,10.99
order_000284,prod_01004,computers_accessories,seller_0159,101.21,11.26
order_000285,prod_00411,bed_bath_table,seller_0263,119.32,27.39
order_000286,prod_00717,furniture_decor,seller_0262,327.59,40.58
order_000286,prod_01041,stationery,seller_0209,73.7,7.0
order_000287,prod_01116,computers_accessories,seller_0120,120.62,18.83
order_000288,prod_00540,sports_leisure,seller_0158,256.55,37.74
order_000289,prod_00953,health_beauty,seller_0240,592.1,73.87
order_000290,prod_00280,toys,seller_0149,42.16,7.0
order_000290,prod_00988,auto,seller_0371,207.69,17.68
order_000290,prod_00898,computers_accessories,seller_0373,127.68,16.13
order_000291,prod_01102,telephony,seller_0171,266.02,41.22
order_000291,prod_00430,housewares,seller_0372,38.02,7.0
order_000292,prod_00628,perfumery,seller_0300,180.16,27.29
order_000293,prod_00253,computers_accessories,seller_0067,109.6,27.06
order_000293,prod_00438,garden_tools,seller_0025,295.02,29.68
order_000294,prod_00935,computers_accessories,seller_0091,121.09,17.88
order_000294,prod_00052,bed_bath_table,seller_0364,139.77,15.03
order_000295,prod_00995,housewares,seller_0371,90.53,18.56
order_000296,prod_00368,health_beauty,seller_0075,323.18,29.57
order_000296,prod_01087,baby,seller_0264,49.59,11.32
order_000297,prod_00444,housewares,seller_0094,72.07,17.13
order_000298,prod_00251,furniture_decor,seller_0095,364.79,55.81
order_000299,prod_00806,computers_accessories,seller_0174,48.21,10.41
order_000299,prod_00184,furniture_decor,seller_0310,271.02,41.81
order_000299,prod_01175,cool_stuff,seller_0399,271.47,67.57
order_000300,prod_00297,computers_accessories,seller_0345,123.45,15.33
order_000301,prod_00337,watches_gifts,seller_0092,69.09,8.49
order_000302,prod_00491,auto,seller_0372,338.56,23.02
order_000303,prod_00515,furniture_decor,seller_0004,249.54,54.15
order_000304,prod_00182,auto,seller_0140,348.42,43.54
order_000305,prod_00406,computers_accessories,seller_0185,130.23,8.0
order_000306,prod_00195,housewares,seller_0300,49.37,7.0
order_000307,prod_00286,auto,seller_0196,353.14,73.82
order_000307,prod_01152,health_beauty,seller_0027,173.09,23.53
order_000307,prod_00083,bed_bath_table,seller_0187,279.59,29.13
order_000308,prod_00071,health_beauty,seller_0319,226.01,17.38
order_000309,prod_00622,fashion_bags_accessories,seller_0117,79.8,8.58
order_000309,prod_00227,sports_leisure,seller_0033,314.69,50.34
order_000309,prod_01137,watches_gifts,seller_0254,35.7,7.0
order_000310,prod_00879,housewares,seller_0031,86.18,7.0
order_000310,prod_00705,watches_gifts,seller_0263,51.28,10.78
order_000310,prod_00231,bed_bath_table,seller_0025,255.67,53.55
order_000311,prod_00889,health_beauty,seller_0315,293.17,23.15
order_000312,prod_00525,telephony,seller_0045,437.58,109.09
order_000313,prod_00026,health_beauty,seller_0308,474.12,69.57
order_000313,prod_01114,furniture_decor,seller_0118,269.32,34.31
order_000314,prod_00314,health_beauty,seller_0140,431.42,83.22
order_000315,prod_00336,bed_bath_table,seller_0353,149.95,30.21
order_000316,prod_00377,garden_tools,seller_0217,141.38,20.77
order_000317,prod_00187,computers_accessories,seller_0301,84.54,10.11
order_000317,prod_00061,watches_gifts,seller_0237,49.54,11.7
order_000317,prod_01116,computers_accessories,seller_0181,115.97,10.63
order_000318,prod_00336,bed_bath_table,seller_0060,146.91,26.78
order_000319,prod_00644,electronics,seller_0269,60.91,14.43
order_000320,prod_00389,bed_bath_table,seller_0151,140.82,12.62
order_000320,prod_00127,housewares,seller_0335,103.96,10.55
order_000321,prod_00895,cool_stuff,seller_0100,454.87,47.33
order_000322,prod_00864,electronics,seller_0126,104.07,13.36
order_000322,prod_00970,sports_leisure,seller_0125,183.81,35.05
order_000323,prod_00217,bed_bath_table,seller_0058,112.66,9.71
order_000324,prod_00104,computers_accessories,seller_0229,106.54,18.89
order_000325,prod_00938,bed_bath_table,seller_0347,120.16,17.08
order_000326,prod_00801,sports_leisure,seller_0159,127.88,21.45
order_000327,prod_00383,watches_gifts,seller_0237,58.83,11.28
order_000328,prod_00554,office_furniture,seller_0064,105.3,8.87
order_000329,prod_01182,health_beauty,seller_0145,413.81,84.21
order_000330,prod_00623,computers_accessories,seller_0263,120.92,13.05
order_000331,prod_00591,bed_bath_table,seller_0111,158.36,33.73
order_000331,prod_00750,furniture_decor,seller_0004,92.24,9.57
order_000331,prod_00750,furniture_decor,seller_0216,124.52,18.48
order_000332,prod_00901,computers_accessories,seller_0074,58.57,11.1
order_000333,prod_00077,furniture_decor,seller_0128,173.24,39.64
order_000333,prod_00237,construction_tools,seller_0022,142.88,15.14
order_000333,prod_00890,cool_stuff,seller_0256,576.79,46.23
order_000334,prod_01051,perfumery,seller_0147,147.18,10.93
order_000334,prod_00452,stationery,seller_0179,126.81,9.35
order_000335,prod_00991,watches_gifts,seller_0049,32.91,7.0
order_000336,prod_00238,health_beauty,seller_0164,344.66,32.04
order_000337,prod_00765,bed_bath_table,seller_0302,173.32,16.22
order_000338,prod_00875,auto,seller_0053,312.1,52.92
order_000339,prod_00300,telephony,seller_0386,281.33,57.24
order_000339,prod_00479,health_beauty,seller_0344,459.56,65.96
order_000340,prod_00327,furniture_decor,seller_0273,187.19,10.83
order_000341,prod_00932,perfumery,seller_0203,147.67,24.52
order_000342,prod_00316,baby,seller_0314,102.83,17.0
order_000343,prod_00923,pet_shop,seller_0235,259.42,33.96
order_000344,prod_00547,auto,seller_0161,146.15,32.06
order_000345,prod_00871,watches_gifts,seller_0152,77.09,11.37
order_000346,prod_00092,electronics,seller_0286,51.4,9.16
order_000347,prod_00498,bed_bath_table,seller_0261,142.39,9.39
